timestamp_ms,fenster,popup_erkannt,radius,fisch_gefunden,fisch_x,fisch_y,distanz_zum_ring,im_ring,klick_gesendet,zyklus_pause,latenz_ms,fisch_speed_px_s
51,816x639,0,,0,,,,0,0,0.08,,
115,816x639,0,,0,,,,0,0,0.08,,
193,816x639,0,,0,,,,0,0,0.08,,
289,816x639,0,,0,,,,0,0,0.08,,
349,816x639,0,,0,,,,0,0,0.08,,
446,816x639,0,,0,,,,0,0,0.08,,
509,816x639,0,,0,,,,0,0,0.08,,
603,816x639,0,,0,,,,0,0,0.08,,
666,816x639,0,,0,,,,0,0,0.08,,
757,816x639,0,,0,,,,0,0,0.08,,
846,816x639,0,,0,,,,0,0,0.08,,
906,816x639,0,,0,,,,0,0,0.08,,
1009,816x639,0,,0,,,,0,0,0.08,,
1090,816x639,0,,0,,,,0,0,0.08,,
1151,816x639,0,,0,,,,0,0,0.08,,
1239,816x639,0,,0,,,,0,0,0.08,,
1304,816x639,0,,0,,,,0,0,0.08,,
1398,816x639,0,,0,,,,0,0,0.08,,
1488,816x639,0,,0,,,,0,0,0.08,,
1567,816x639,0,,0,,,,0,0,0.08,,
1630,816x639,0,,0,,,,0,0,0.08,,
1722,816x639,0,,0,,,,0,0,0.08,,
1815,816x639,0,,0,,,,0,0,0.08,,
1891,816x639,0,,0,,,,0,0,0.08,,
1953,816x639,0,,0,,,,0,0,0.08,,
2038,816x639,0,,0,,,,0,0,0.08,,
2128,816x639,0,,0,,,,0,0,0.08,,
2189,816x639,0,,0,,,,0,0,0.08,,
2267,816x639,0,,0,,,,0,0,0.08,,
2361,816x639,0,,0,,,,0,0,0.08,,
2456,816x639,0,,0,,,,0,0,0.08,,
2504,816x639,0,,0,,,,0,0,0.08,,
2611,816x639,0,,0,,,,0,0,0.08,,
2663,816x639,0,,0,,,,0,0,0.08,,
2767,816x639,0,,0,,,,0,0,0.08,,
2829,816x639,0,,0,,,,0,0,0.08,,
2909,816x639,0,,0,,,,0,0,0.08,,
2987,816x639,0,,0,,,,0,0,0.08,,
3081,816x639,0,,0,,,,0,0,0.08,,
3160,816x639,0,,0,,,,0,0,0.08,,
3248,816x639,0,,0,,,,0,0,0.08,,
3327,816x639,0,,0,,,,0,0,0.08,,
3388,816x639,0,,0,,,,0,0,0.08,,
3482,816x639,0,,0,,,,0,0,0.08,,
3558,816x639,0,,0,,,,0,0,0.08,,
3635,816x639,0,,0,,,,0,0,0.08,,
3714,816x639,0,,0,,,,0,0,0.08,,
3793,816x639,0,,0,,,,0,0,0.08,,
3887,816x639,0,,0,,,,0,0,0.08,,
3950,816x639,0,,0,,,,0,0,0.08,,
4027,816x639,0,,0,,,,0,0,0.08,,
4120,816x639,0,,0,,,,0,0,0.08,,
4200,816x639,0,,0,,,,0,0,0.08,,
4294,816x639,0,,0,,,,0,0,0.08,,
4355,816x639,1,64,0,,,,0,0,0.08,,
4532,816x639,1,64,0,,,,0,0,0.08,,
4626,816x639,1,64,0,,,,0,0,0.08,,
4732,816x639,1,64,0,,,,0,0,0.08,,
4827,816x639,1,64,0,,,,0,0,0.08,,
4903,816x639,1,64,0,,,,0,0,0.08,,
4980,816x639,1,64,0,,,,0,0,0.08,,
5075,816x639,1,64,1,325,167,94.05,0,0,0.08,,
5172,816x639,1,64,1,309,182,83.49,0,0,0.08,,226.4
5277,816x639,1,64,1,288,203,72.40,1,0,0.08,,284.3
5364,816x639,1,64,1,275,215,57.80,1,0,0.08,,211.7
5450,816x639,1,64,1,257,233,36.06,1,0,0.08,,279.0
5532,816x639,1,64,1,254,236,18.25,1,0,0.08,,55.0
5622,816x639,1,64,1,253,237,15.26,1,0,0.08,,15.1
5748,816x639,1,64,1,252,237,16.16,1,0,0.08,,8.0
5842,816x639,1,64,1,254,236,16.16,1,0,0.08,,23.5
5875,816x639,1,64,1,254,236,16.16,1,1,0.08,126.2,
5885,816x639,1,64,1,254,236,16.16,1,0,0.08,,0.0
6020,816x639,1,64,0,,,,0,0,0.08,,
6100,816x639,1,64,1,265,203,16.16,1,0,0.08,,160.7
6109,816x639,1,64,0,,,,0,0,0.08,,
6295,816x639,1,64,1,279,159,16.16,1,0,0.08,,241.8
6364,816x639,1,64,0,,,,0,0,0.08,,
6497,816x639,1,64,0,,,,0,0,0.08,,
6607,816x639,1,64,0,,,,0,0,0.08,,
6703,816x639,1,64,0,,,,0,0,0.08,,
6798,816x639,1,64,0,,,,0,0,0.08,,
6911,816x639,1,64,0,,,,0,0,0.08,,
7005,816x639,1,64,0,,,,0,0,0.08,,
7122,816x639,1,64,1,269,167,12.04,1,0,0.08,,15.4
7190,816x639,1,64,1,266,174,37.59,1,0,0.08,,111.9
7280,816x639,1,64,1,254,200,38.47,1,0,0.08,,311.9
7357,816x639,1,64,1,246,216,36.06,1,0,0.08,,233.5
7438,816x639,1,64,1,238,234,13.15,1,0,0.08,,240.5
7541,816x639,1,64,1,227,255,7.21,1,0,0.08,,226.8
7626,816x639,1,64,1,220,271,28.02,1,0,0.08,,218.2
7727,816x639,1,64,1,207,300,47.51,1,0,0.08,,308.1
7802,816x639,1,66,0,,,,0,0,0.08,,
7884,816x639,1,65,0,,,,0,0,0.08,,
7959,816x639,1,64,0,,,,0,0,0.08,,
8041,816x639,1,64,0,,,,0,0,0.08,,
8118,816x639,1,64,0,,,,0,0,0.08,,
8213,816x639,1,64,0,,,,0,0,0.08,,
8330,816x639,1,64,1,201,299,72.47,1,0,0.08,,10.1
8432,816x639,1,64,1,198,272,78.49,0,0,0.08,,263.4
8503,816x639,1,64,1,196,264,80.80,0,0,0.08,,115.5
8581,816x639,1,64,1,194,235,69.35,1,0,0.08,,373.6
8659,816x639,1,64,1,192,218,60.42,1,0,0.08,,219.7
8763,816x639,1,64,1,191,211,55.23,1,0,0.08,,70.1
8855,816x639,1,64,1,191,211,56.44,1,0,0.08,,0.0
8946,816x639,1,64,1,191,211,57.87,1,0,0.08,,0.0
9031,816x639,1,64,1,191,211,57.87,1,0,0.08,,0.0
9108,816x639,1,64,1,191,211,57.87,1,0,0.08,,0.0
9128,816x639,1,64,1,191,211,57.87,1,1,0.08,180.5,
