timestamp_ms,fenster,popup_erkannt,radius,fisch_gefunden,fisch_x,fisch_y,distanz_zum_ring,im_ring,klick_gesendet,zyklus_pause,latenz_ms,fisch_speed_px_s
175,816x639,0,,0,,,,0,0,0.08,,
328,816x639,0,,0,,,,0,0,0.08,,
475,816x639,0,,0,,,,0,0,0.08,,
550,816x639,0,,0,,,,0,0,0.08,,
662,816x639,0,,0,,,,0,0,0.08,,
790,816x639,0,,0,,,,0,0,0.08,,
985,816x639,0,,0,,,,0,0,0.08,,
1065,816x639,0,,0,,,,0,0,0.08,,
1210,816x639,0,,0,,,,0,0,0.08,,
1389,816x639,0,,0,,,,0,0,0.08,,
1505,816x639,0,,0,,,,0,0,0.08,,
1593,816x639,0,,0,,,,0,0,0.08,,
1732,816x639,0,,0,,,,0,0,0.08,,
1816,816x639,0,,0,,,,0,0,0.08,,
1921,816x639,0,,0,,,,0,0,0.08,,
2005,816x639,0,,0,,,,0,0,0.08,,
2118,816x639,0,,0,,,,0,0,0.08,,
2245,816x639,0,,0,,,,0,0,0.08,,
2352,816x639,0,,0,,,,0,0,0.08,,
2425,816x639,0,,0,,,,0,0,0.08,,
2496,816x639,0,,0,,,,0,0,0.08,,
2608,816x639,0,,0,,,,0,0,0.08,,
2657,816x639,0,,0,,,,0,0,0.08,,
2797,816x639,0,,0,,,,0,0,0.08,,
2944,816x639,0,,0,,,,0,0,0.08,,
3016,816x639,0,,0,,,,0,0,0.08,,
3197,816x639,0,,0,,,,0,0,0.08,,
3449,816x639,0,,0,,,,0,0,0.08,,
3555,816x639,0,,0,,,,0,0,0.08,,
3748,816x639,0,,0,,,,0,0,0.08,,
3878,816x639,0,,0,,,,0,0,0.08,,
3977,816x639,0,,0,,,,0,0,0.08,,
4181,816x639,0,,0,,,,0,0,0.08,,
4282,816x639,0,,0,,,,0,0,0.08,,
4502,816x639,0,,0,,,,0,0,0.08,,
4583,816x639,0,,0,,,,0,0,0.08,,
4789,816x639,0,,0,,,,0,0,0.08,,
4961,816x639,0,,0,,,,0,0,0.08,,
5154,816x639,0,,0,,,,0,0,0.08,,
5328,816x639,0,,0,,,,0,0,0.08,,
5425,816x639,0,,0,,,,0,0,0.08,,
5527,816x639,0,,0,,,,0,0,0.08,,
5618,816x639,0,,0,,,,0,0,0.08,,
5683,816x639,0,,0,,,,0,0,0.08,,
5818,816x639,0,,0,,,,0,0,0.08,,
5907,816x639,0,,0,,,,0,0,0.08,,
6012,816x639,0,,0,,,,0,0,0.08,,
6106,816x639,0,,0,,,,0,0,0.08,,
6214,816x639,0,,0,,,,0,0,0.08,,
6311,816x639,0,,0,,,,0,0,0.08,,
6416,816x639,0,,0,,,,0,0,0.08,,
6514,816x639,0,,0,,,,0,0,0.08,,
6616,816x639,0,,0,,,,0,0,0.08,,
6758,816x639,0,,0,,,,0,0,0.08,,
6849,816x639,0,,0,,,,0,0,0.08,,
6935,816x639,0,,0,,,,0,0,0.08,,
7052,816x639,0,,0,,,,0,0,0.08,,
7173,816x639,0,,0,,,,0,0,0.08,,
7264,816x639,0,,0,,,,0,0,0.08,,
7345,816x639,0,,0,,,,0,0,0.08,,
7482,816x639,0,,0,,,,0,0,0.08,,
7593,816x639,0,,0,,,,0,0,0.08,,
7682,816x639,0,,0,,,,0,0,0.08,,
7834,816x639,0,,0,,,,0,0,0.08,,
7928,816x639,0,,0,,,,0,0,0.08,,
8005,816x639,0,,0,,,,0,0,0.08,,
8091,816x639,0,,0,,,,0,0,0.08,,
8174,816x639,0,,0,,,,0,0,0.08,,
8253,816x639,0,,0,,,,0,0,0.08,,
8368,816x639,0,,0,,,,0,0,0.08,,
